loja,valor,estornos,fraudes,Percentual de Fraudes
1,"R$355,00",2,2,"100,00%"
1,"R$218,55",3,1,"33,33%"
1,"R$177,50",4,4,"100,00%"
1,"R$130,05",2,2,"100,00%"
1,"R$104,55",2,2,"100,00%"
1,"R$96,90",2,2,"100,00%"
1,"R$91,80",4,4,"100,00%"
1,"R$86,70",3,3,"100,00%"
1,"R$79,05",3,3,"100,00%"
1,"R$76,50",3,3,"100,00%"
1,"R$53,55",4,4,"100,00%"
1,"R$40,00",6,1,"16,67%"
2,"R$40,00",3,1,"33,33%"
1,"R$38,90",2,1,"50,00%"
1,"R$26,00",4,1,"25,00%"
1,"R$25,50",2,1,"50,00%"
1,"R$23,60",7,1,"14,29%"
1,"R$22,00",16,2,"12,50%"
2,"R$22,00",14,1,"7,14%"
3,"R$22,00",2,2,"100,00%"
2,"R$20,60",3,2,"66,67%"
5,"R$19,05",2,1,"50,00%"
1,"R$15,30",3,3,"100,00%"
1,"R$10,65",3,2,"66,67%"
2,"R$10,30",7,1,"14,29%"
1,"R$10,20",3,3,"100,00%"
1,"R$9,85",3,1,"33,33%"
1,"R$7,65",2,1,"50,00%"
1,"R$5,10",2,2,"100,00%"
