transacao,loja,status,valor,dh_pagamento,dh_estorno,dif_minutos,hora_fim_expediente,fraude
1103,6,ESTORNADO,25.5,2024-09-16 16:27:38.910000,2024-09-16 19:34:57.287000,187,15:00:00,1
1115,6,ESTORNADO,29,2024-09-11 14:16:45.427000,2024-09-11 19:29:29.905000,312,15:00:00,1
1099,5,ESTORNADO,19.05,2024-11-28 16:58:26.353000,2024-11-28 20:12:07.534000,193,17:00:00,1
1101,5,ESTORNADO,39.5,2024-02-23 16:45:40.512000,2024-02-23 20:07:16.365000,201,17:00:00,1
1072,4,ESTORNADO,58.2,2024-10-16 16:33:23.499000,2024-10-16 19:54:11.184000,200,16:30:00,1
1033,3,ESTORNADO,22,2024-11-27 21:29:10.351000,2024-11-27 21:29:28.257000,0,17:00:00,1
1039,3,ESTORNADO,22,2024-11-27 21:00:50.926000,2024-11-27 21:01:16.930000,0,17:00:00,1
1041,3,ESTORNADO,23.6,2024-11-27 20:43:15.501000,2024-11-27 20:44:03.463000,0,17:00:00,1
1015,2,ESTORNADO,40,2024-07-19 12:51:24.761000,2024-07-19 19:04:06.275000,372,18:00:00,1
1016,2,ESTORNADO,22,2024-10-02 11:35:31.620000,2024-10-02 19:08:08.770000,452,18:00:00,1
1034,2,ESTORNADO,20.6,2024-10-15 11:11:45.880000,2024-10-15 19:18:23.565000,486,18:00:00,1
1035,2,ESTORNADO,171.3,2024-12-09 16:47:47.609000,2024-12-09 19:49:35.873000,181,18:00:00,1
1053,2,ESTORNADO,10.3,2024-10-09 12:59:22.762000,2024-10-09 19:04:57.683000,365,18:00:00,1
1087,2,ESTORNADO,168.8,2024-12-02 18:04:59.330000,2024-12-02 19:06:50.404000,61,18:00:00,1
1105,2,ESTORNADO,20.6,2024-08-06 17:24:38.925000,2024-08-06 19:16:05.571000,111,18:00:00,1
1001,1,ESTORNADO,5.1,2024-11-21 10:43:18.350000,2024-11-21 20:14:13.401000,570,17:00:00,1
1002,1,ESTORNADO,361.55,2024-10-24 14:13:41.446000,2024-10-24 20:16:10.307000,362,17:00:00,1
1003,1,ESTORNADO,443.7,2024-09-30 12:15:43.145000,2024-09-30 20:24:28.176000,488,17:00:00,1
1004,1,ESTORNADO,10.2,2024-11-22 16:49:18.031000,2024-11-22 20:34:22.560000,225,17:00:00,1
1005,1,ESTORNADO,191.25,2024-07-15 15:41:16.093000,2024-07-15 20:46:46.134000,305,17:00:00,1
1006,1,ESTORNADO,136.75,2024-07-15 09:53:13.786000,2024-07-15 20:48:20.304000,655,17:00:00,1
1007,1,ESTORNADO,10.2,2024-11-22 16:48:35.705000,2024-11-22 20:32:59.940000,224,17:00:00,1
1008,1,ESTORNADO,372.3,2024-11-22 13:55:42.302000,2024-11-22 20:31:49.695000,396,17:00:00,1
1009,1,ESTORNADO,355,2024-09-26 10:46:59.550000,2024-09-26 20:16:37.582000,569,17:00:00,1
1010,1,ESTORNADO,355,2024-09-26 10:59:58.752000,2024-09-26 20:14:56.085000,554,17:00:00,1
1011,1,ESTORNADO,26,2024-09-26 13:31:43.367000,2024-09-26 20:14:33.993000,402,17:00:00,1
1012,1,ESTORNADO,92.6,2024-03-18 16:09:04.656000,2024-03-18 20:19:23.916000,250,17:00:00,1
1013,1,ESTORNADO,130.05,2025-01-06 15:23:59.015000,2025-01-06 20:28:00.309000,304,17:00:00,1
1014,1,ESTORNADO,15.3,2024-07-19 09:14:34.527000,2024-07-19 20:32:28.875000,677,17:00:00,1
1017,1,ESTORNADO,124.95,2024-07-22 12:37:32.429000,2024-07-22 20:08:21.937000,450,17:00:00,1
1018,1,ESTORNADO,5.1,2024-11-21 10:40:42.879000,2024-11-21 20:13:55.126000,573,17:00:00,1
1019,1,ESTORNADO,68.69,2024-07-23 17:03:25.202000,2024-07-23 20:06:28.866000,183,17:00:00,1
1020,1,ESTORNADO,298.35,2024-07-23 10:11:44.493000,2024-07-23 20:29:57.261000,618,17:00:00,1
1021,1,ESTORNADO,29.8,2024-07-24 14:00:15.773000,2024-07-24 20:40:20.558000,400,17:00:00,1
1022,1,ESTORNADO,104.55,2024-07-24 14:31:49.746000,2024-07-24 20:42:05.059000,370,17:00:00,1
1023,1,ESTORNADO,15.3,2024-11-21 10:41:44.178000,2024-11-21 20:11:23.372000,569,17:00:00,1
1024,1,ESTORNADO,79.05,2025-01-14 15:30:18.663000,2025-01-14 20:29:40.455000,299,17:00:00,1
1025,1,ESTORNADO,355.45,2024-09-24 09:32:55.203000,2024-09-24 20:31:00.811000,658,17:00:00,1
1026,1,ESTORNADO,230.6,2025-01-21 11:16:11.186000,2025-01-21 20:29:34.708000,553,17:00:00,1
1027,1,ESTORNADO,91.8,2024-07-25 09:37:20.880000,2024-07-25 20:24:03.144000,646,17:00:00,1
1028,1,ESTORNADO,369.75,2025-01-22 10:44:21.919000,2025-01-22 20:18:13.175000,573,17:00:00,1
1029,1,ESTORNADO,89.25,2025-01-22 14:20:55.471000,2025-01-22 20:18:35.861000,357,17:00:00,1
1030,1,ESTORNADO,53.55,2025-01-22 14:23:05.624000,2025-01-22 20:18:52.969000,355,17:00:00,1
1031,1,ESTORNADO,177.5,2024-12-16 17:08:39.156000,2024-12-16 20:56:59.029000,228,17:00:00,1
1032,1,ESTORNADO,99.8,2024-04-22 16:58:07.402000,2024-04-22 20:01:25.946000,183,17:00:00,1
1036,1,ESTORNADO,91.8,2024-11-27 14:41:07.261000,2024-11-27 21:01:38.113000,380,17:00:00,1
1037,1,ESTORNADO,18.05,2024-12-11 14:53:45.977000,2024-12-11 20:30:30.354000,336,17:00:00,1
1038,1,ESTORNADO,218.55,2024-06-26 16:52:59.985000,2024-06-26 20:29:34.515000,216,17:00:00,1
1040,1,ESTORNADO,303.45,2024-12-13 09:15:37.840000,2024-12-13 20:44:02.058000,688,17:00:00,1
1042,1,ESTORNADO,933.65,2024-12-16 11:01:17.092000,2024-12-16 20:55:14.056000,593,17:00:00,1
1043,1,ESTORNADO,177.5,2024-12-16 17:05:21.572000,2024-12-16 20:55:40.381000,230,17:00:00,1
1044,1,ESTORNADO,177.5,2024-12-16 17:04:01.487000,2024-12-16 20:56:10.295000,232,17:00:00,1
1045,1,ESTORNADO,177.5,2024-12-16 17:06:42.250000,2024-12-16 20:56:38.218000,229,17:00:00,1
1046,1,ESTORNADO,53.55,2024-07-25 09:35:52.678000,2024-07-25 20:24:24.662000,648,17:00:00,1
1047,1,ESTORNADO,52.05,2024-11-26 10:41:53.956000,2024-11-26 20:31:25.096000,589,17:00:00,1
1048,1,ESTORNADO,216.55,2024-10-10 14:43:02.242000,2024-10-10 20:34:49.826000,351,17:00:00,1
1049,1,ESTORNADO,69.85,2024-12-17 09:52:50.095000,2024-12-17 20:29:52.565000,637,17:00:00,1
1050,1,ESTORNADO,61.2,2024-12-17 11:20:24.578000,2024-12-17 21:05:01.876000,584,17:00:00,1
1051,1,ESTORNADO,23.6,2024-06-21 16:43:45.279000,2024-06-21 20:29:50.201000,226,17:00:00,1
1052,1,ESTORNADO,263.8,2024-05-06 16:42:08.068000,2024-05-06 20:37:21.764000,235,17:00:00,1
1054,1,ESTORNADO,38.9,2024-04-05 17:10:23.324000,2024-04-05 20:14:47.810000,184,17:00:00,1
1055,1,ESTORNADO,94.35,2024-10-07 11:19:58.314000,2024-10-07 20:48:07.669000,568,17:00:00,1
1056,1,ESTORNADO,22,2024-06-11 17:02:30.590000,2024-06-11 20:51:04.676000,228,17:00:00,1
1057,1,ESTORNADO,130.05,2024-12-20 11:32:12.123000,2024-12-20 20:19:22.538000,527,17:00:00,1
1058,1,ESTORNADO,49.25,2024-12-20 14:04:06.234000,2024-12-20 20:20:01.646000,375,17:00:00,1
1059,1,ESTORNADO,27.5,2024-11-25 15:23:58.380000,2024-11-25 20:34:11.193000,310,17:00:00,1
1060,1,ESTORNADO,25.5,2024-08-15 10:47:50.886000,2024-08-15 20:20:36.352000,572,17:00:00,1
1061,1,ESTORNADO,53.55,2025-02-20 09:29:51.296569,2025-02-20 20:38:47.157773,668,17:00:00,1
1062,1,ESTORNADO,91.8,2024-08-26 14:42:05.279000,2024-08-26 20:31:32.796000,349,17:00:00,1
1063,1,ESTORNADO,15.3,2025-02-20 09:24:05.450538,2025-02-20 20:39:24.171703,675,17:00:00,1
1064,1,ESTORNADO,86.7,2025-02-21 14:42:42.589224,2025-02-21 20:28:07.114816,345,17:00:00,1
1065,1,ESTORNADO,53.55,2025-02-21 14:40:22.696085,2025-02-21 20:28:22.653289,348,17:00:00,1
1066,1,ESTORNADO,328.85,2025-02-21 13:23:55.613907,2025-02-21 20:35:45.172130,431,17:00:00,1
1067,1,ESTORNADO,17.75,2024-11-14 15:31:32.988000,2024-11-14 20:21:58.778000,290,17:00:00,1
1068,1,ESTORNADO,10.65,2024-11-13 12:43:21.433000,2024-11-13 20:11:35.565000,448,17:00:00,1
1069,1,ESTORNADO,81.6,2025-02-24 10:26:57.684485,2025-02-24 20:37:53.269093,610,17:00:00,1
1070,1,ESTORNADO,9.85,2024-01-31 16:57:15.583000,2024-01-31 20:10:29.316000,193,17:00:00,1
1071,1,ESTORNADO,160.98,2025-02-24 16:49:15.082930,2025-02-24 20:38:50.247243,229,17:00:00,1
1073,1,ESTORNADO,24.75,2024-08-15 10:44:52.657000,2024-08-15 20:15:20.238000,570,17:00:00,1
1074,1,ESTORNADO,39.05,2024-08-15 10:43:30.823000,2024-08-15 20:15:40.823000,572,17:00:00,1
1075,1,ESTORNADO,467.3,2025-02-19 17:19:09.644725,2025-02-19 20:42:51.919293,203,17:00:00,1
1076,1,ESTORNADO,99.45,2024-09-05 09:44:54.277000,2024-09-05 20:09:59.766000,625,17:00:00,1
1077,1,ESTORNADO,76.5,2024-11-11 15:45:53.219000,2024-11-11 20:33:36.912000,287,17:00:00,1
1078,1,ESTORNADO,96.9,2024-11-11 13:31:08.371000,2024-11-11 20:32:59.452000,421,17:00:00,1
1079,1,ESTORNADO,76.5,2024-08-19 14:27:49.166000,2024-08-19 20:14:18.116000,346,17:00:00,1
1080,1,ESTORNADO,106.55,2024-11-08 10:51:33.940000,2024-11-08 20:08:07.044000,556,17:00:00,1
1081,1,ESTORNADO,104,2025-02-28 09:35:02.956743,2025-02-28 20:07:03.802029,632,17:00:00,1
1082,1,ESTORNADO,79.05,2024-09-02 14:53:27.301000,2024-09-02 20:23:12.585000,329,17:00:00,1
1083,1,ESTORNADO,201.45,2024-11-06 16:27:29.050000,2024-11-06 20:43:34.616000,256,17:00:00,1
1084,1,ESTORNADO,86.7,2024-08-28 14:13:34.808000,2024-08-28 20:32:24.616000,378,17:00:00,1
1085,1,ESTORNADO,436.05,2024-08-22 09:18:56.219000,2024-08-22 20:33:12.917000,674,17:00:00,1
1086,1,ESTORNADO,96.9,2025-03-06 10:54:15.213741,2025-03-06 20:13:59.492463,559,17:00:00,1
1088,1,ESTORNADO,7.65,2024-05-29 17:15:35.013000,2024-05-29 20:19:22.472000,183,17:00:00,1
1089,1,ESTORNADO,735.4,2025-02-10 16:30:42.217776,2025-02-10 20:16:49.490103,226,17:00:00,1
1090,1,ESTORNADO,22,2024-06-05 17:03:17.921000,2024-06-05 20:04:32.509000,181,17:00:00,1
1091,1,ESTORNADO,104.55,2024-09-23 09:57:04.822000,2024-09-23 20:30:27.194000,633,17:00:00,1
1092,1,ESTORNADO,10.65,2024-11-19 15:43:09.923000,2024-11-19 20:34:44.277000,291,17:00:00,1
1093,1,ESTORNADO,155.55,2024-09-20 12:02:47.390000,2024-09-20 20:26:31.428000,503,17:00:00,1
1094,1,ESTORNADO,43.35,2024-09-20 16:04:39.099000,2024-09-20 20:25:04.280000,260,17:00:00,1
1095,1,ESTORNADO,40,2024-11-19 17:13:29.769000,2024-11-19 20:24:39.748000,191,17:00:00,1
1096,1,ESTORNADO,91.8,2024-10-24 14:20:00.356000,2024-10-24 20:20:50.835000,360,17:00:00,1
1097,1,ESTORNADO,86.7,2024-08-01 15:20:39.007000,2024-08-01 20:28:08.140000,307,17:00:00,1
1098,1,ESTORNADO,76.5,2025-02-05 14:23:07.775241,2025-02-05 20:16:36.792613,353,17:00:00,1
1100,1,ESTORNADO,44.55,2024-09-17 15:18:49.556000,2024-09-17 20:11:39.324000,292,17:00:00,1
1102,1,ESTORNADO,107.1,2024-09-16 13:56:02.615000,2024-09-16 20:23:29.500000,387,17:00:00,1
1104,1,ESTORNADO,84.15,2024-11-18 13:34:56.552000,2024-11-18 20:21:59.466000,407,17:00:00,1
1106,1,ESTORNADO,477.38,2025-02-12 17:10:33.946748,2025-02-12 20:21:42.759000,191,17:00:00,1
1107,1,ESTORNADO,10.2,2024-12-03 14:44:23.085000,2024-12-03 20:46:59.434000,362,17:00:00,1
1108,1,ESTORNADO,47.5,2025-02-13 14:42:14.875732,2025-02-13 20:26:57.119265,344,17:00:00,1
1109,1,ESTORNADO,79.05,2024-12-03 14:42:22.514000,2024-12-03 20:39:02.945000,356,17:00:00,1
1110,1,ESTORNADO,26.25,2025-02-14 16:24:02.761872,2025-02-14 20:28:06.901981,244,17:00:00,1
1111,1,ESTORNADO,71.4,2024-10-28 15:12:48.811000,2024-10-28 20:26:55.827000,314,17:00:00,1
1112,1,ESTORNADO,70.9,2024-08-12 16:35:23.397000,2024-08-12 20:07:51.706000,212,17:00:00,1
1113,1,ESTORNADO,260.5,2025-02-17 16:59:28.477018,2025-02-17 20:32:53.777302,213,17:00:00,1
1114,1,ESTORNADO,351.9,2025-02-17 16:41:07.935717,2025-02-17 20:33:14.426590,232,17:00:00,1
1116,1,ESTORNADO,63.75,2024-08-13 15:15:59.748000,2024-08-13 20:24:57.461000,308,17:00:00,1
1413,18,ESTORNADO,25.5,2024-07-25 15:00:21.377000,2024-07-25 16:07:50.283000,67,17:00:00,0
1447,18,ESTORNADO,27,2024-08-06 14:59:44.194000,2024-08-06 15:11:47.399000,12,17:00:00,0
1461,18,ESTORNADO,33.25,2024-05-16 08:44:16.583000,2024-05-16 09:25:40.722000,41,17:00:00,0
1467,18,ESTORNADO,34.75,2024-05-13 15:06:03.719000,2024-05-13 16:04:13.893000,58,17:00:00,0
1473,18,ESTORNADO,33.25,2024-05-17 13:11:48.815000,2024-05-17 13:59:14.466000,47,17:00:00,0
1387,17,ESTORNADO,63,2024-02-18 13:56:11.739000,2024-02-18 13:58:41.067000,2,17:00:00,0
1240,16,ESTORNADO,10.3,2024-11-21 12:13:57.569000,2024-11-21 12:16:13.481000,2,18:00:00,0
1179,15,ESTORNADO,22,2025-02-05 10:48:15.655852,2025-02-05 10:49:23.232923,1,17:00:00,0
1162,14,ESTORNADO,34.75,2024-10-16 16:15:25.935000,2024-10-16 16:32:29.036000,17,17:00:00,0
1154,13,ESTORNADO,392.5,2024-10-16 14:12:14.196000,2024-10-16 14:24:47.549000,12,16:30:00,0
1152,12,ESTORNADO,38.24,2024-10-16 14:47:09.510000,2024-10-16 14:49:58.302000,2,17:00:00,0
1153,12,ESTORNADO,38.24,2024-10-16 14:37:34.408000,2024-10-16 14:40:33.358000,2,17:00:00,0
1149,11,ESTORNADO,0,2024-08-27 12:34:09.592000,2024-08-27 14:11:11.143000,97,18:00:00,0
1429,11,ESTORNADO,0,2024-08-26 15:23:51.729000,2024-08-26 16:38:07.385000,74,18:00:00,0
1431,11,ESTORNADO,0,2024-08-23 12:16:47.488000,2024-08-23 12:49:08.435000,32,18:00:00,0
1432,11,ESTORNADO,0,2024-08-22 14:48:48.858000,2024-08-22 16:04:55.187000,76,18:00:00,0
1433,11,ESTORNADO,0,2024-08-22 10:30:46.345000,2024-08-22 14:10:52.586000,220,18:00:00,0
1146,10,ESTORNADO,0,2024-08-29 11:28:55.822000,2024-08-29 11:30:25.122000,1,18:00:00,0
1145,9,ESTORNADO,27,2024-09-03 09:51:34.931000,2024-09-03 09:54:47.960000,3,17:00:00,0
1168,9,ESTORNADO,60.8,2024-09-27 14:10:48.799000,2024-09-27 14:11:35.185000,0,17:00:00,0
1308,9,ESTORNADO,11.3,2024-04-29 14:12:20.253000,2024-04-29 14:30:09.105000,17,17:00:00,0
1401,9,ESTORNADO,19.05,2024-07-18 15:51:57.068000,2024-07-18 16:32:33.250000,40,17:00:00,0
1466,9,ESTORNADO,19.05,2024-05-14 13:52:57.642000,2024-05-14 13:55:42.391000,2,17:00:00,0
1484,9,ESTORNADO,38.1,2024-05-02 13:39:11.454000,2024-05-02 14:58:03.601000,78,17:00:00,0
1511,9,ESTORNADO,21.6,2024-05-28 15:45:24.219000,2024-05-28 15:46:17.655000,0,17:00:00,0
1120,8,ESTORNADO,36.99,2024-10-16 15:37:45.949000,2024-10-16 16:42:49.766000,65,17:00:00,0
1118,7,ESTORNADO,27,2024-10-21 13:10:11.110000,2024-10-21 13:13:10.745000,2,16:00:00,0
1157,7,ESTORNADO,25.5,2024-10-14 10:06:45.231000,2024-10-14 12:29:35.959000,142,16:00:00,0
1158,7,ESTORNADO,25.5,2024-10-14 09:41:23.618000,2024-10-14 09:56:03.224000,14,16:00:00,0
1171,7,ESTORNADO,25.5,2024-09-26 09:24:59.533000,2024-09-26 10:57:34.629000,92,16:00:00,0
1186,7,ESTORNADO,10.3,2025-01-23 13:20:10.360000,2025-01-23 13:21:26.067000,1,16:00:00,0
1197,7,ESTORNADO,15.56,2025-01-07 11:01:41.052000,2025-01-07 13:10:33.200000,128,16:00:00,0
1210,7,ESTORNADO,105.5,2025-02-27 15:52:06.029632,2025-02-27 15:56:32.961409,4,16:00:00,0
1211,7,ESTORNADO,15.56,2025-01-07 10:08:49.265000,2025-01-07 10:48:16.043000,39,16:00:00,0
1220,7,ESTORNADO,27,2025-02-19 15:24:19.272923,2025-02-19 15:28:07.609293,3,16:00:00,0
1258,7,ESTORNADO,34.75,2024-12-30 09:21:08.320000,2024-12-30 09:22:20.826000,1,16:00:00,0
1217,6,ESTORNADO,22,2025-02-24 10:07:07.326019,2025-02-24 11:28:40.467978,81,15:00:00,0
1182,5,ESTORNADO,12.7,2025-01-29 15:58:29.304000,2025-01-29 16:12:09.708000,13,17:00:00,0
1183,5,ESTORNADO,10.3,2025-01-29 12:48:56.719000,2025-01-29 12:52:29.213000,3,17:00:00,0
1185,5,ESTORNADO,19.05,2025-02-13 09:42:54.727671,2025-02-13 09:53:46.698097,10,17:00:00,0
1187,5,ESTORNADO,10.3,2025-01-23 11:46:55.646000,2025-01-23 11:56:53.276000,9,17:00:00,0
1192,5,ESTORNADO,12.7,2025-01-13 12:38:23.724000,2025-01-13 13:28:11.547000,49,17:00:00,0
1195,5,ESTORNADO,10.3,2025-01-08 15:34:10.226000,2025-01-08 15:42:14.961000,8,17:00:00,0
1206,5,ESTORNADO,11.3,2025-03-06 12:43:14.400358,2025-03-06 12:51:13.852261,7,17:00:00,0
1207,5,ESTORNADO,12.7,2025-03-05 14:15:59.908874,2025-03-05 14:23:26.088535,7,17:00:00,0
1216,5,ESTORNADO,27,2025-02-25 10:07:12.249069,2025-02-25 10:12:40.084968,5,17:00:00,0
1218,5,ESTORNADO,10.3,2025-02-24 11:09:38.951969,2025-02-24 11:13:54.983629,4,17:00:00,0
1228,5,ESTORNADO,10.3,2024-12-05 10:42:15.295000,2024-12-05 11:45:15.142000,62,17:00:00,0
1244,5,ESTORNADO,11.3,2024-11-18 13:37:52.153000,2024-11-18 13:41:46.516000,3,17:00:00,0
1249,5,ESTORNADO,11.3,2024-11-05 09:55:13.468000,2024-11-05 10:08:16.707000,13,17:00:00,0
1262,5,ESTORNADO,27,2024-12-23 10:16:02.895000,2024-12-23 15:04:46.838000,288,17:00:00,0
1265,5,ESTORNADO,12.7,2024-12-20 10:47:25.599000,2024-12-20 10:52:56.481000,5,17:00:00,0
1266,5,ESTORNADO,12.7,2024-12-20 10:46:12.423000,2024-12-20 10:51:48.316000,5,17:00:00,0
1306,5,ESTORNADO,45.74,2024-03-07 08:49:45.136000,2024-03-07 08:55:08.717000,5,17:00:00,0
1327,5,ESTORNADO,10.3,2024-04-11 10:21:21.171000,2024-04-11 10:29:55.446000,8,17:00:00,0
1336,5,ESTORNADO,10.3,2024-04-04 14:49:53.301000,2024-04-04 15:16:26.857000,26,17:00:00,0
1357,5,ESTORNADO,31,2024-01-11 11:51:36.387000,2024-01-11 11:54:22.958000,2,17:00:00,0
1372,5,ESTORNADO,9.85,2024-03-04 15:44:46.271000,2024-03-04 15:54:50.090000,10,17:00:00,0
1403,5,ESTORNADO,41.2,2024-07-16 11:57:26.086000,2024-07-16 12:47:05.278000,49,17:00:00,0
1404,5,ESTORNADO,31.8,2024-07-16 11:58:46.462000,2024-07-16 12:08:02.549000,9,17:00:00,0
1405,5,ESTORNADO,23.6,2024-07-16 11:54:50.743000,2024-07-16 12:00:43.768000,5,17:00:00,0
1444,5,ESTORNADO,49.77,2024-08-09 09:05:18.030000,2024-08-09 09:10:45.192000,5,17:00:00,0
1117,2,ESTORNADO,28.6,2024-10-30 15:47:39.594000,2024-10-30 15:50:09.882000,2,18:00:00,0
1122,2,ESTORNADO,76.9,2024-10-23 16:33:14.012000,2024-10-23 17:24:25.217000,51,18:00:00,0
1123,2,ESTORNADO,22,2024-10-24 14:21:22.836000,2024-10-24 17:56:13.150000,214,18:00:00,0
1124,2,ESTORNADO,19.05,2024-10-25 11:55:39.038000,2024-10-25 13:04:15.253000,68,18:00:00,0
1128,2,ESTORNADO,26.1,2024-10-30 13:37:03.016000,2024-10-30 15:44:45.687000,127,18:00:00,0
1132,2,ESTORNADO,11.3,2024-09-20 12:50:43.353000,2024-09-20 17:57:38.063000,306,18:00:00,0
1133,2,ESTORNADO,301.6,2024-09-19 15:38:27.699000,2024-09-19 15:42:42.531000,4,18:00:00,0
1134,2,ESTORNADO,23.6,2024-09-18 11:05:15.709000,2024-09-18 16:35:03.771000,329,18:00:00,0
1141,2,ESTORNADO,10.3,2024-09-25 12:33:41.094000,2024-09-25 15:58:23.289000,204,18:00:00,0
1144,2,ESTORNADO,30.8,2024-09-04 09:22:59.250000,2024-09-04 10:19:51.530000,56,18:00:00,0
1147,2,ESTORNADO,47.19,2024-08-27 17:40:39.731000,2024-08-27 17:45:39.394000,4,18:00:00,0
1150,2,ESTORNADO,10.3,2025-03-11 14:02:19.262029,2025-03-11 14:03:16.700808,0,18:00:00,0
1155,2,ESTORNADO,29.75,2024-10-16 11:08:17.172000,2024-10-16 11:15:13.415000,6,18:00:00,0
1163,2,ESTORNADO,72.8,2024-10-07 14:40:49.236000,2024-10-07 14:42:16.766000,1,18:00:00,0
1164,2,ESTORNADO,424.2,2024-10-03 15:58:13.619000,2024-10-03 16:05:26.443000,7,18:00:00,0
1166,2,ESTORNADO,50.5,2024-10-01 11:19:24.143000,2024-10-01 11:30:22.890000,10,18:00:00,0
1170,2,ESTORNADO,26,2024-09-26 13:37:02.828000,2024-09-26 13:51:05.324000,14,18:00:00,0
